,,(1=male;  2=female),,,(1=happy;2=sad),,,(1=HM1/SM1; 2=HM2/SM2 ; 3=HM3/SM3),,,"[min:sec,ms]",(-100=negative;100=positive),,,,LEXICAL FEATURES,,,,,ACOUSTIC FEATURES,,,,,,,,,,FACIAL FEATURES,,,,,,,,,,,,,,,,,,,,,,
#segments,Participant,gender ,Age ,Cue_word,Cue_word_coded,Emotion_Memory_Aggregated,Emotional_memory,Emo_Mem_coded,Emotional_Memory_Topic,Emotional_Memory_Topic_Coded,Emotional_memory_duration ,Question: How did you feel at that moment when the emotional event happened?,Past Valence,Question: How did you feel now when talking about this emotional memory?,Present Valence,sentiment_M,sentiment_SD,interval_number,starttime,endtime,z_mean_pitch,z_sd_pitch,z_range_pitch,z_mean_intens,z_sd_intens,z_range_intens,z_hammarberg,z_ar,z_mean_dur_silent,z_sil_rate,AU01_int_dur_pmin,AU01_int_std,AU01_int_zscore,AU04_int_dur_pmin,AU04_int_std,AU04_int_zscore,AU09_int_dur_pmin,AU09_int_std,AU09_int_zscore,AU10_int_dur_pmin,AU10_int_std,AU10_int_zscore,AU12_int_dur_pmin,AU12_int_std,AU12_int_zscore,AU14_int_dur_pmin,AU14_int_std,AU14_int_zscore,AU15_int_dur_pmin,AU15_int_std,AU15_int_zscore,duration,topic_index
22,1,1,70,Happy,1,,HM3,3,HM3.3,3,"00:20,20",24,0.24,66,0.66,-0.0315,0.379716341497176,5,65.7,86.05,-1.09492098274344,-1.18639603915829,-0.352726136603527,-0.415862942795004,0.290761877510036,0.390087924686832,-1.49228547876019,-0.930104581667549,-0.571530394120938,-1.09853417729366,0,0.264379,-0.00790246,1.00295,0.0661033,0.605296,0,0,-0.501315,46.5487,0.156664,-0.559544,19.056,0.149412,0.56221,59.292,0.610284,0.106601,0,0.197941,-0.384607,20.35,3
23,1,1,70,Happy,1,,HM3,3,HM3.4,4,"00:19,19",24,0.24,66,0.66,0.075,0.541410195692693,7,86.58,105.58,-0.957333820314503,-1.1186326982361,-0.468624570205761,-1.32150813044457,-0.815502528221057,-1.09126999191331,0.86437011061642,0.261432309205088,1.34060741236535,0.747393082396183,0,0.276842,-0.0540254,0,0.216974,-0.74802,0,0.0204929,-0.473679,53.4316,0.10886,-0.988561,34.6105,0.115734,0.197281,58.1053,0.382168,-0.753868,0,0.00718421,-0.715419,19.003,4
24,1,1,70,Happy,1,,HM3,3,HM3.5,5,"00:16,16",24,0.24,66,0.66,-0.0361111111111111,0.239260047584987,8,105.58,121.39,-0.566078296264151,0.208952074554525,-0.657905353060326,-0.469994702391046,-2.00117328879232,-1.76226813748387,-1.2167136609383,0.174125987031982,1.67046761128497,-0.988711284092876,0,0.159479,-0.428974,0,0.272361,-0.59962,0,0.0016265,-0.500561,48.4411,0.234204,0.242193,32.4715,0.338421,0.952321,58.0228,0.837148,0.524554,0,0.114985,-0.610631,15.807,5
25,1,1,70,Happy,1,,HM3,3,HM3.6,6,"00:39,39",24,0.24,66,0.66,0.0525,0.138744369255116,9,121.39,160.35,4.23706183288878,4.55288227236266,7.77262264117662,-0.058871324232256,1.0348502054963,0.0366047267046829,0.523929599846039,-1.7614587102147,2.20928307565568,-0.547915288095221,0.400616,0.0533631,3.81929,4.37596,0.150982,1.11716,0,0.0529255,-0.192762,48.4438,0.166263,-0.383852,26.9646,0.276674,0.590764,57.2573,0.670555,0.454234,0,0.161632,-0.527271,38.96,6
26,1,1,70,Happy,1,,HM3,3,HM3.7,7,"00:28,28",24,0.24,66,0.66,-0.121666666666667,0.159942119160281,10,160.35,188.42,-0.183340153701121,-0.30649353847057,-0.118950594020598,0.258814922526808,-1.02971502034802,-0.884268414348659,-1.36681260878854,-0.417931056044751,0.510481148151942,0.028278795410247,0,0.32038,0.0184468,3.76605,0.039833,0.574959,0,0,-0.501315,48.4879,0.322922,0.305866,21.9544,0.172369,0.517844,58.8445,0.696969,-0.207361,0,0.144529,-0.508953,28.07,7
27,1,1,70,Happy,1,,HM3,3,HM3.8,8,"00:16,16",24,0.24,66,0.66,-0.316666666666667,0.367801274845232,12,189.41,205.9,-1.14276112546863,-1.29517587959441,-0.534517941063566,-0.53833508362142,0.582303232635413,1.18258632905331,-2.16691988542443,-0.681617357021015,-0.04016197275373,-1.14517129632413,0,0.187342,-0.316258,0.583232,0.0683348,0.689645,0,0,-0.501315,52.5638,0.305518,0.095785,6.99878,0.0431406,0.0186034,57.5942,0.405176,-0.775926,0,0.0392196,-0.653911,16.49,8
28,1,1,70,Happy,1,,HM3,3,HM3.9,9,"00:06,06",24,0.24,66,0.66,0.116666666666667,0,14,207.85,214.01,-0.449929094025861,-1.22334440020627,-0.432743340507855,-1.0228954138142,0.773547898289709,1.08333605450267,-0.397686348859098,-4.14205822372024,-1.29520774951964,0.089960146386028,0,0.265686,-0.0820107,0,0.16293,-0.695657,0,0.0117049,-0.489854,57.4593,0.25984,-0.286061,24.43,0.115236,0.200803,60,0.506461,-0.582209,0,0.232318,-0.0322618,6.16,9
29,1,1,70,Happy,1,,HM3,3,HM3.10,10,"00:40,40",24,0.24,66,0.66,0.256481481481482,0.268642372457949,16,215.52,255.54,0.408711363855734,-0.858186109359857,-0.0191412813238727,0.371325584055235,-0.456327272025422,-0.536585557087002,0.235384043434447,0.560465299320262,-1.03718961251611,-0.659242604490533,0.54,0.228832,5.58543,3.99,0.0410543,0.622852,0,0,-0.501315,45.03,0.149678,-0.410218,32.79,0.0486359,-0.0753311,56.34,0.335536,-0.459628,0.39,0.254236,5.75305,40.02,10
30,1,1,70,Happy,1,,HM3,3,HM3.11,11,"00:06,06",24,0.24,66,0.66,-0.125,0,18,256.06,261.89,-1.45402806688855,-1.19147731555637,-0.352129053234925,-0.409376398135848,-1.68424036671224,-1.44315732895648,-1.81542767141098,0.895198445465734,-1.83051872306517,2.94234652321727,0,0.210086,0.661482,0,0.300535,-0.697804,0,0,-0.501315,54.433,0.235119,-0.315746,42.8866,0.164702,0.237182,57.5258,0.69599,-0.344789,0,0.280866,0.195306,5.833,11
31,1,1,70,Happy,1,,HM3,3,HM3.12,12,"00:24,24",24,0.24,66,0.66,-0.015,0.214767315949145,20,263.52,287.3,1.39801967425541,0.632295656180136,-0.0364807965483811,-0.182115672756188,0.961676326181383,1.13038326256888,0.896444075463171,-0.346177277092765,-0.825167917593002,0.899339825043839,0,0.254493,-0.341862,8.88889,0.133909,0.869182,0,0,-0.501315,47.8788,0.0981866,-0.907022,22.5253,0.0288097,-0.0777697,59.1414,0.54682,0.56768,0,0.230906,-0.292907,23.779,12
